ModelID	MSIScore	LoHFraction	WGD	CIN	Ploidy	Aneuploidy
ACH-001054	1.79	0.134666976725789	1.0	0.386195857633936	3.60845993102055	33.0
ACH-000674	1.74	0.0788613312424775	1.0	0.460828990901016	4.02369155192918	38.0
ACH-000399	0.59					
ACH-000244	2.0	0.112776763251901	0.0	0.20848528516281	2.01583320790759	8.0
ACH-000207	1.16	0.332374778794749	1.0	0.710577070622066	3.11582817948935	21.0
ACH-000319	2.23	0.388913357984032	1.0	0.677437097361816	2.41022750500601	14.0
ACH-002654	2.18	0.288503972396045	1.0	0.771764689496921	3.98781541930844	23.0
ACH-001274	1.42					
ACH-000085	2.86	0.433911672883455	1.0	0.715653048115695	2.87430888230676	25.0
ACH-002036	2.75	0.331694712216626	1.0	0.666578447237592	3.31915623150296	25.0
ACH-000514	0.84	0.231855032648796	1.0	0.678522350462189	2.94981440244904	23.0
ACH-000673	2.58	0.29702144131115	1.0	0.768532136403799	4.08449089960892	26.0
ACH-001099	2.29	0.0223639652248165	0.0	0.0279740219543262	2.1064819243758	0.0
ACH-000127	1.95	0.393247254999809	1.0	0.668651398142552	4.17234132479023	16.0
ACH-002458	2.17					
ACH-000958	84.58					
ACH-000713	1.5					
ACH-000799	2.31	0.450737866564165	1.0	0.636970647509241	2.62848358135867	25.0
ACH-001164	1.88	0.0056671625033116	0.0	0.0118031536733753	2.04751770586786	0.0
ACH-002040	3.36	0.404324032518246	1.0	0.689745995720645	2.99825088106672	22.0
ACH-000331	1.87	0.247792897531058	1.0	0.401984674878142	3.88835002058773	8.0
ACH-000435	3.01	0.254750628922946	1.0	0.696130968139573	3.68901389848149	28.0
ACH-001075	4.02	0.0733774295806316	0.0	0.21159633775923	2.16571745583424	8.0
ACH-000142	2.19	0.156391694653891	1.0	0.57553033337191	3.01742734847423	21.0
ACH-000843	1.98	0.349049561192266	1.0	0.666139788235504	2.96023900914156	21.0
ACH-001196	1.99	0.266608807666088	1.0	0.700741437507681	3.09475865050085	26.0
ACH-000551	2.53					
ACH-000975	1.98	0.182084154436088	1.0	0.757130783952005	3.90257485735857	26.0
ACH-001533	1.69					
ACH-000971	89.11					
ACH-002004	2.24	0.254833254916439	1.0	0.552685545484826	3.42975916073842	19.0
ACH-000257	0.47	0.289956714734852	1.0	0.590375662577653	3.35913098426024	31.0
ACH-000595	2.22	0.244682439878342	1.0	0.706537492845492	3.83760063325414	25.0
ACH-000820	1.86	0.192722439316595	1.0	0.429945877742474	3.10033332648295	17.0
ACH-002500	1.96					
ACH-000191	2.39					
ACH-000581	1.56					
ACH-000097	2.06	0.256788099185837	1.0	0.533684040401164	3.5474996539093	34.0
ACH-000982	90.28					
ACH-002512	1.82	0.239841546762717	1.0	0.638553830114699	3.5355708481848	27.0
ACH-003305	1.84	0.0101840782552116	0.0	0.0799093095641887	2.18203230566061	3.0
ACH-000068	1.54					
ACH-000196	1.6	0.295719676824158	1.0	0.82489701679871	4.45642764306765	25.0
ACH-000475	3.09	0.21277373212055	1.0	0.544011921596836	3.00980977595373	19.0
ACH-000582	1.97	0.209159855072735	1.0	0.665063508381762	4.06108668935887	21.0
ACH-001765	2.24	0.173428560675568	1.0	0.803518561897455	4.6583764610888	29.0
ACH-001622	2.41	0.228625947069413	1.0	0.479531540916908	2.85155852431243	19.0
ACH-000712	2.15	0.347906854041961	1.0	0.704778467627264	3.26552507454197	26.0
ACH-000912	1.04	0.365949324454781	0.0	0.4263996599322	1.98975657677419	9.0
ACH-000251	2.57	0.319661604328138	1.0	0.813075717963316	4.54619848254068	33.0
ACH-002886	82.96					
ACH-000316	2.05	0.0874343745485852	0.0	0.131417909148872	1.94784668173965	7.0
ACH-002703	2.7					
ACH-000345	2.12	0.0454343693351891	0.0	0.0830444018404657	2.17578072158214	3.0
ACH-000634	1.6	0.143151952563863	1.0	0.53136183901116	3.53773706131287	30.0
ACH-000655	2.2	0.365246965787181	1.0	0.57430336876905	2.6472921363913	23.0
ACH-000783	1.41	0.180619117006439	1.0	0.519011239681794	3.93780195014801	17.0
ACH-000152	2.04	0.219778302862911	1.0	0.79647881236846	4.02142190425893	25.0
ACH-000888	1.64	0.121345263691564	1.0	0.61589644394754	3.47184766390608	22.0
ACH-000769	2.02	0.648428802785499	1.0	0.553587491316802	3.01830721871871	22.0
ACH-002042	2.45	0.148739319258047	1.0	0.649015180834616	3.56659246277185	26.0
ACH-001132	2.78	0.0229415454655866	1.0	0.24144111917591	4.26881120001289	10.0
ACH-000012	1.67	0.573863892047947	1.0	0.642095099045523	2.97585577798584	20.0
ACH-002178	2.98					
ACH-001591	2.47	0.204005365124053	1.0	0.636806727769434	3.44289327716722	27.0
ACH-000325	3.5	0.0402840164638805	1.0	0.334927562101695	4.60632913304408	36.0
ACH-000746	2.86					
ACH-001130	3.07	0.117813092492862	0.0	0.156822134851494	2.2650779555862	5.0
ACH-000291	1.9					
ACH-002695	2.4	0.33780470650968	1.0	0.659637998183934	3.48381094869775	16.0
ACH-000770	40.89	0.0621005732836071	0.0	0.152164866906412	2.10869557541688	5.0
ACH-000836	2.9	0.244556376490588	1.0	0.513250060328485	3.04852857619611	17.0
ACH-000959	90.42	0.0386112158601431	0.0	0.0392161257600034	1.99174433442119	0.0
ACH-002025	2.55					
ACH-001318	3.5	0.322773141556739	1.0	0.500608789946611	2.74390360815942	19.0
ACH-002027	59.91	0.0589784617679525	0.0	0.0995235602979148	2.11291927523018	1.0
ACH-002927	2.22	0.0873402270711628	1.0	0.512140306816946	4.24749865438085	14.0
ACH-000363	2.39	0.157635322527253	0.0	0.241969838329709	2.11399081120769	9.0
ACH-000541	2.45	0.211508192969814	1.0	0.70658033354207	4.89705591920457	24.0
ACH-001715	3.47	0.472207883543376	1.0	0.593389688003268	3.81149234287648	30.0
ACH-001656	2.58	0.193296461764214	0.0	0.246191351409769	2.10088425933292	4.0
ACH-000915	1.87	0.150500964934979	1.0	0.629394642551863	3.69141813095315	22.0
ACH-000270	0.81	0.258983736893654	1.0	0.391872781808844	2.98648708484121	16.0
ACH-003227	1.99	0.325494161702407	1.0	0.563022449842025	4.96774419617933	32.0
ACH-000521	1.3	0.434034020606731	1.0	0.821020984508191	3.93250400484167	25.0
ACH-000760	2.23					
